167,INS_L_6_3,Insular Lobe,"INS, Insular Gyrus","dIa, dorsal agranular insular"
168,INS_R_6_3,Insular Lobe,"INS, Insular Gyrus","dIa, dorsal agranular insular"
169,INS_L_6_4,Insular Lobe,"INS, Insular Gyrus","vId/vIg, ventral granular insular"
170,INS_R_6_4,Insular Lobe,"INS, Insular Gyrus","vId/vIg, ventral granular insular"
171,INS_L_6_5,Insular Lobe,"INS, Insular Gyrus","dIg, dorsal granular insular"
172,INS_R_6_5,Insular Lobe,"INS, Insular Gyrus","dIg, dorsal granular insular"
173,INS_L_6_6,Insular Lobe,"INS, Insular Gyrus","dId, dorsal dysgranular insular"
174,INS_R_6_6,Insular Lobe,"INS, Insular Gyrus","dId, dorsal dysgranular insular"
175,CG_L_7_1,Limbic Lobe,"CG, Cingulate Gyrus","A23d, dorsal area 23"
176,CG_R_7_1,Limbic Lobe,"CG, Cingulate Gyrus","A23d, dorsal area 23"
177,CG_L_7_2,Limbic Lobe,"CG, Cingulate Gyrus","A24rv, rostroventral area 24"
178,CG_R_7_2,Limbic Lobe,"CG, Cingulate Gyrus","A24rv, rostroventral area 24"
179,CG_L_7_3,Limbic Lobe,"CG, Cingulate Gyrus","A32p, pregenual area 32"
180,CG_R_7_3,Limbic Lobe,"CG, Cingulate Gyrus","A32p, pregenual area 32"
181,CG_L_7_4,Limbic Lobe,"CG, Cingulate Gyrus","A23v, ventral area 23"
182,CG_R_7_4,Limbic Lobe,"CG, Cingulate Gyrus","A23v, ventral area 23"
183,CG_L_7_5,Limbic Lobe,"CG, Cingulate Gyrus","A24cd, caudodorsal area 24"
184,CG_R_7_5,Limbic Lobe,"CG, Cingulate Gyrus","A24cd, caudodorsal area 24"
185,CG_L_7_6,Limbic Lobe,"CG, Cingulate Gyrus","A23c, caudal area 24"
186,CG_R_7_6,Limbic Lobe,"CG, Cingulate Gyrus","A23c, caudal area 24"
187,CG_L_7_7,Limbic Lobe,"CG, Cingulate Gyrus","A32sg, subgenual area 32"
188,CG_R_7_7,Limbic Lobe,"CG, Cingulate Gyrus","A32sg, subgenual area 32"
189,Cun_L_5_1,Occipital Lobe,"Cun, Cuneus","cLinG, caudal lingual gyrus"
190,Cun_R_5_1,Occipital Lobe,"Cun, Cuneus","cLinG, caudal lingual gyrus"
191,Cun_L_5_2,Occipital Lobe,"Cun, Cuneus","rCunG, rostral cuneus gyrus"
192,Cun_R_5_2,Occipital Lobe,"Cun, Cuneus","rCunG, rostral cuneus gyrus"
193,Cun_L_5_3,Occipital Lobe,"Cun, Cuneus","cCunG, caudal cuneus gyrus"
194,Cun_R_5_3,Occipital Lobe,"Cun, Cuneus","cCunG, caudal cuneus gyrus"
195,Cun_L_5_4,Occipital Lobe,"Cun, Cuneus","rLinG, rostral lingual gyrus"
196,Cun_R_5_4,Occipital Lobe,"Cun, Cuneus","rLinG, rostral lingual gyrus"
197,Cun_L_5_5,Occipital Lobe,"Cun, Cuneus","vmPOS,ventomeial parietooccipital sulcus"
198,Cun_R_5_5,Occipital Lobe,"Cun, Cuneus","vmPOS,ventomeial parietooccipital sulcus"
199,OcG_L_4_1,Occipital Lobe,"OcG, Occipital Gyrus","mOccG, middle occipital gyrus"
200,OcG_R_4_1,Occipital Lobe,"OcG, Occipital Gyrus","mOccG, middle occipital gyrus"
201,OcG_L_4_2,Occipital Lobe,"OcG, Occipital Gyrus","V5/MT, area V5/MT"
202,OcG_R_4_2,Occipital Lobe,"OcG, Occipital Gyrus","V5/MT, area V5/MT"
203,OcG_L_4_3,Occipital Lobe,"OcG, Occipital Gyrus","OPC, occipital polar cortex"
204,OcG_R_4_3,Occipital Lobe,"OcG, Occipital Gyrus","OPC, occipital polar cortex"
205,OcG_L_4_4,Occipital Lobe,"OcG, Occipital Gyrus","iOccG, inferior occipital gyrus"
206,OcG_R_4_4,Occipital Lobe,"OcG, Occipital Gyrus","iOccG, inferior occipital gyrus"
207,sOcG_L_2_1,Occipital Lobe,"OcG, Occipital Gyrus","msOccG, medial superior occipital gyrus"
208,sOcG_R_2_1,Occipital Lobe,"OcG, Occipital Gyrus","msOccG, medial superior occipital gyrus"
209,sOcG_L_2_2,Occipital Lobe,"OcG, Occipital Gyrus","lsOccG, lateral superior occipital gyrus"
210,sOcG_R_2_2,Occipital Lobe,"OcG, Occipital Gyrus","lsOccG, lateral superior occipital gyrus"
211,Amyg_L_2_1,Subcortical Nuclei,"Amyg, Amygdala","mAmyg, medial amyg"
212,Amyg_R_2_1,Subcortical Nuclei,"Amyg, Amygdala","mAmyg, medial amyg"
213,Amyg_L_2_2,Subcortical Nuclei,"Amyg, Amygdala","lAmyg, lateral amyg"
214,Amyg_R_2_2,Subcortical Nuclei,"Amyg, Amygdala","lAmyg, lateral amyg"
215,Hipp_L_2_1,Subcortical Nuclei,"Hipp, Hippocampus","rHipp, rostral hipp"
216,Hipp_R_2_1,Subcortical Nuclei,"Hipp, Hippocampus","rHipp, rostral hipp"
217,Hipp_L_2_2,Subcortical Nuclei,"Hipp, Hippocampus","cHipp, caudal hipp"
218,Hipp_R_2_2,Subcortical Nuclei,"Hipp, Hippocampus","cHipp, caudal hipp"
219,Str_L_6_1,Subcortical Nuclei,"Str, Striatum","vCa, ventral caudate"
220,Str_R_6_1,Subcortical Nuclei,"Str, Striatum","vCa, ventral caudate"
221,Str_L_6_2,Subcortical Nuclei,"Str, Striatum","GP, globus pallidus"
222,Str_R_6_2,Subcortical Nuclei,"Str, Striatum","GP, globus pallidus"
223,Str_L_6_3,Subcortical Nuclei,"Str, Striatum","NAC, nucleus accumbens"
224,Str_R_6_3,Subcortical Nuclei,"Str, Striatum","NAC, nucleus accumbens"
225,Str_L_6_4,Subcortical Nuclei,"Str, Striatum","vmPu, ventromedial putamen"
226,Str_R_6_4,Subcortical Nuclei,"Str, Striatum","vmPu, ventromedial putamen"
227,Str_L_6_5,Subcortical Nuclei,"Str, Striatum","dCa, dorsal caudate"
228,Str_R_6_5,Subcortical Nuclei,"Str, Striatum","dCa, dorsal caudate"
229,Str_L_6_6,Subcortical Nuclei,"Str, Striatum","dlPu, dorsolateral putamen"
230,Str_R_6_6,Subcortical Nuclei,"Str, Striatum","dlPu, dorsolateral putamen"
231,Tha_L_8_1,Subcortical Nuclei,"Tha, Thalamus","mPFtha, medial Pre-frontal thalamus"
232,Tha_R_8_1,Subcortical Nuclei,"Tha, Thalamus","mPFtha, medial Pre-frontal thalamus"
233,Tha_L_8_2,Subcortical Nuclei,"Tha, Thalamus","mPMtha, pre-motor thalamus"
234,Tha_R_8_2,Subcortical Nuclei,"Tha, Thalamus","mPMtha, pre-motor thalamus"
235,Tha_L_8_3,Subcortical Nuclei,"Tha, Thalamus","Stha, sensory thalamus"
236,Tha_R_8_3,Subcortical Nuclei,"Tha, Thalamus","Stha, sensory thalamus"
237,Tha_L_8_4,Subcortical Nuclei,"Tha, Thalamus","rTtha, rostral Temporal thalamus"
238,Tha_R_8_4,Subcortical Nuclei,"Tha, Thalamus","rTtha, rostral Temporal thalamus"
239,Tha_L_8_5,Subcortical Nuclei,"Tha, Thalamus","PPtha, posterior parietal thalamus"
240,Tha_R_8_5,Subcortical Nuclei,"Tha, Thalamus","PPtha, posterior parietal thalamus"
241,Tha_L_8_6,Subcortical Nuclei,"Tha, Thalamus","Otha, occipital thalamus"
242,Tha_R_8_6,Subcortical Nuclei,"Tha, Thalamus","Otha, occipital thalamus"
243,Tha_L_8_7,Subcortical Nuclei,"Tha, Thalamus","cTtha, caudal Temporal thalamus"
244,Tha_R_8_7,Subcortical Nuclei,"Tha, Thalamus","cTtha, caudal Temporal thalamus"
245,Tha_L_8_8,Subcortical Nuclei,"Tha, Thalamus","lPFtha, lateral Pre-frontal thalamus"
246,Tha_R_8_8,Subcortical Nuclei,"Tha, Thalamus","lPFtha, lateral Pre-frontal thalamus"
